LAN,EMP_ID,BRANCH_CODE,PRODUCT_CODE,LOGIN_DATE,LOGIN_FLAG,FLAG2,INCOME_SANCTION_FLAG,FINAL_SANCTION_FLAG,BOOKING_FLAG,FINALLOANAMOUNT,LOGIN_AMT,INCOME_SANCTION_AMT,FINAL_SANCTION_AMT,BOOKING_AMT
1402543,71,7,2,94,1,1,0,0,0,11700000,11700000, -   , -   , -   
1271698,65,1,1,171,1,1,0,0,0,9500000,9500000, -   , -   , -   
1577872,71,6,2,226,1,1,1,1,1,9600000,9600000,9600000,9600000,9600000
1424368,97,6,1,284,1,1,0,0,0,6400000,6400000, -   , -   , -   
1387157,67,7,3,9,1,1,0,0,0,12100000,12100000, -   , -   , -   
1682877,10,3,1,353,1,1,1,1,1,11800000,11800000,11800000,11800000,11800000
1397364,73,3,1,64,1,1,1,1,1,6000000,6000000,6000000,6000000,6000000
1074551,37,7,2,36,1,1,1,0,0,11000000,11000000,11000000, -   , -   
1006583,59,5,1,132,1,1,0,0,0,8500000,8500000, -   , -   , -   
1615190,96,6,1,202,1,1,0,0,0,8800000,8800000, -   , -   , -   
1917784,7,2,3,347,1,1,1,1,1,5800000,5800000,5800000,5800000,5800000
1962169,93,3,1,327,1,1,1,1,1,13200000,13200000,13200000,13200000,13200000
1716899,21,4,1,72,1,1,1,1,1,5000000,5000000,5000000,5000000,5000000
1272596,13,1,1,186,1,1,1,1,0,12700000,12700000,12700000,12700000, -   
1367213,33,4,1,220,1,1,0,0,0,14300000,14300000, -   , -   , -   
1454540,37,3,3,353,1,1,0,0,0,5200000,5200000, -   , -   , -   
1044745,77,3,3,355,1,1,1,0,0,6700000,6700000,6700000, -   , -   
1490476,72,7,2,101,1,1,1,1,1,8600000,8600000,8600000,8600000,8600000
1028206,26,3,2,85,1,1,0,0,0,14900000,14900000, -   , -   , -   
1637496,29,1,2,70,1,1,0,0,0,7400000,7400000, -   , -   , -   
1063348,69,1,1,151,1,1,1,0,0,11400000,11400000,11400000, -   , -   
1475743,1,1,2,271,1,1,1,1,1,11100000,11100000,11100000,11100000,11100000
1318765,86,4,1,318,1,1,1,1,0,10300000,10300000,10300000,10300000, -   
1324149,31,4,2,285,1,1,0,0,0,6800000,6800000, -   , -   , -   
1245239,75,6,2,112,1,1,1,0,0,11000000,11000000,11000000, -   , -   
1962163,34,4,3,43,1,1,0,0,0,15000000,15000000, -   , -   , -   
1186300,5,2,2,74,1,1,1,1,1,9200000,9200000,9200000,9200000,9200000
1588629,45,1,1,177,1,1,1,0,0,6900000,6900000,6900000, -   , -   
1078410,37,2,1,356,1,1,1,0,0,12500000,12500000,12500000, -   , -   
1189798,37,2,2,321,1,1,1,0,0,8900000,8900000,8900000, -   , -   
1412172,58,1,2,216,1,1,0,0,0,6900000,6900000, -   , -   , -   
1843240,67,7,1,16,1,1,1,1,0,10900000,10900000,10900000,10900000, -   
1672513,77,2,1,212,1,1,1,1,1,8300000,8300000,8300000,8300000,8300000
1087051,85,2,3,360,1,1,1,0,0,9400000,9400000,9400000, -   , -   
1773678,4,1,1,98,1,1,1,1,1,11100000,11100000,11100000,11100000,11100000
1424877,65,6,2,139,1,1,1,1,0,6100000,6100000,6100000,6100000, -   
1615974,63,1,3,168,1,1,1,0,0,6100000,6100000,6100000, -   , -   
1600160,33,3,3,364,1,1,1,0,0,11100000,11100000,11100000, -   , -   
1159880,57,5,3,341,1,1,0,0,0,12100000,12100000, -   , -   , -   
1038790,17,7,1,84,1,1,1,1,0,6200000,6200000,6200000,6200000, -   
1173656,72,6,2,96,1,1,1,1,1,7000000,7000000,7000000,7000000,7000000
1284224,64,7,1,291,1,1,1,0,0,12400000,12400000,12400000, -   , -   
1782183,30,6,1,121,1,1,1,1,1,13500000,13500000,13500000,13500000,13500000
1359083,9,6,1,148,1,1,1,0,0,10100000,10100000,10100000, -   , -   
1723325,58,6,3,126,1,1,1,0,0,9500000,9500000,9500000, -   , -   
1996229,31,3,2,41,1,1,1,1,0,14100000,14100000,14100000,14100000, -   
1502967,82,4,3,18,1,1,1,1,1,13200000,13200000,13200000,13200000,13200000
1093471,55,7,1,214,1,1,0,0,0,9700000,9700000, -   , -   , -   
1778738,72,3,1,39,1,1,0,0,0,10500000,10500000, -   , -   , -   
1964167,99,4,3,131,1,1,1,1,0,7900000,7900000,7900000,7900000, -   
1449023,81,4,2,39,1,1,1,0,0,6900000,6900000,6900000, -   , -   
1349102,33,5,3,90,1,1,0,0,0,12000000,12000000, -   , -   , -   
1522424,81,7,3,115,1,1,1,0,0,7500000,7500000,7500000, -   , -   
1012884,31,7,3,145,1,1,1,0,0,7900000,7900000,7900000, -   , -   
1764735,73,3,1,357,1,1,0,0,0,9200000,9200000, -   , -   , -   
1826942,21,2,1,73,1,1,1,0,0,6100000,6100000,6100000, -   , -   
1559021,53,2,3,190,1,1,0,0,0,12500000,12500000, -   , -   , -   
1645271,23,1,2,18,1,1,1,0,0,7700000,7700000,7700000, -   , -   
1810112,92,5,2,245,1,1,0,0,0,13900000,13900000, -   , -   , -   
1031477,4,2,3,353,1,1,1,1,1,7500000,7500000,7500000,7500000,7500000
1884314,23,6,1,288,1,1,1,1,1,12200000,12200000,12200000,12200000,12200000
1424374,41,5,1,322,1,1,0,0,0,5600000,5600000, -   , -   , -   
1665718,57,7,3,117,1,1,0,0,0,11100000,11100000, -   , -   , -   
1183078,60,6,1,17,1,1,0,0,0,8800000,8800000, -   , -   , -   
1748773,68,3,3,41,1,1,1,1,0,11600000,11600000,11600000,11600000, -   
1390043,65,2,2,144,1,1,0,0,0,7800000,7800000, -   , -   , -   
1131264,21,4,3,134,1,1,0,0,0,10600000,10600000, -   , -   , -   
1239763,25,1,2,276,1,1,1,0,0,13000000,13000000,13000000, -   , -   
1715971,80,1,3,218,1,1,0,0,0,14900000,14900000, -   , -   , -   
1807499,32,6,1,112,1,1,1,1,0,9500000,9500000,9500000,9500000, -   
1511718,71,4,1,1,1,1,1,1,1,7600000,7600000,7600000,7600000,7600000
1494932,84,2,1,129,1,1,0,0,0,11600000,11600000, -   , -   , -   
1645550,17,3,3,100,1,1,0,0,0,15000000,15000000, -   , -   , -   
1491941,24,3,2,98,1,1,0,0,0,13000000,13000000, -   , -   , -   
1059138,7,4,3,279,1,1,1,1,0,14900000,14900000,14900000,14900000, -   
1231237,100,1,2,180,1,1,1,0,0,9300000,9300000,9300000, -   , -   
1227048,21,6,2,21,1,1,0,0,0,9900000,9900000, -   , -   , -   
1697838,93,4,1,194,1,1,1,0,0,10600000,10600000,10600000, -   , -   
1109979,91,6,1,194,1,1,0,0,0,8400000,8400000, -   , -   , -   
1548972,85,1,2,274,1,1,0,0,0,14600000,14600000, -   , -   , -   
1861138,95,4,1,255,1,1,1,0,0,14300000,14300000,14300000, -   , -   
1521171,35,7,3,273,1,1,0,0,0,14500000,14500000, -   , -   , -   
1272213,29,1,3,357,1,1,1,1,1,5000000,5000000,5000000,5000000,5000000
1929226,91,3,3,275,1,1,1,0,0,7800000,7800000,7800000, -   , -   
1009946,50,6,2,26,1,1,1,0,0,10700000,10700000,10700000, -   , -   
1481816,91,3,2,38,1,1,0,0,0,11500000,11500000, -   , -   , -   
1680311,45,6,1,272,1,1,0,0,0,14100000,14100000, -   , -   , -   
1877199,75,2,3,227,1,1,1,1,0,8900000,8900000,8900000,8900000, -   
1262781,77,1,2,146,1,1,0,0,0,6300000,6300000, -   , -   , -   
1385143,86,6,2,354,1,1,0,0,0,14100000,14100000, -   , -   , -   
1149165,12,4,2,70,1,1,1,1,0,13400000,13400000,13400000,13400000, -   
1198538,10,2,3,247,1,1,1,0,0,10200000,10200000,10200000, -   , -   
1840785,60,7,3,95,1,1,0,0,0,11400000,11400000, -   , -   , -   
1708429,24,6,2,232,1,1,1,0,0,8700000,8700000,8700000, -   , -   
1404684,4,5,2,164,1,1,0,0,0,8100000,8100000, -   , -   , -   
1149951,64,3,1,45,1,1,0,0,0,7000000,7000000, -   , -   , -   
1120656,54,2,1,47,1,1,0,0,0,9000000,9000000, -   , -   , -   
1129825,2,5,2,150,1,1,0,0,0,8300000,8300000, -   , -   , -   
1051698,48,7,1,309,1,1,1,1,1,10200000,10200000,10200000,10200000,10200000
1135236,52,2,1,187,1,1,0,0,0,13800000,13800000, -   , -   , -   
1411466,52,2,3,139,1,1,1,0,0,6500000,6500000,6500000, -   , -   
1978112,30,5,2,262,1,1,1,0,0,10500000,10500000,10500000, -   , -   
1279866,74,4,1,252,1,1,1,0,0,8800000,8800000,8800000, -   , -   
1618299,13,6,1,353,1,1,1,0,0,8900000,8900000,8900000, -   , -   
1492766,37,5,1,160,1,1,1,0,0,10100000,10100000,10100000, -   , -   
1289698,54,7,2,365,1,1,1,1,0,8500000,8500000,8500000,8500000, -   
1854828,4,4,2,162,1,1,1,1,0,11700000,11700000,11700000,11700000, -   
1138394,82,5,1,246,1,1,1,0,0,8700000,8700000,8700000, -   , -   
1551194,100,5,1,215,1,1,1,1,1,6400000,6400000,6400000,6400000,6400000
1915682,40,3,2,159,1,1,1,1,1,14100000,14100000,14100000,14100000,14100000
1176898,41,3,1,274,1,1,1,1,1,13200000,13200000,13200000,13200000,13200000
1071759,26,1,2,290,1,1,1,0,0,9400000,9400000,9400000, -   , -   
1101719,7,4,3,59,1,1,1,0,0,10600000,10600000,10600000, -   , -   
1960364,64,3,1,148,1,1,1,1,1,7500000,7500000,7500000,7500000,7500000
1132780,48,4,3,108,1,1,0,0,0,11000000,11000000, -   , -   , -   
1080012,50,1,3,222,1,1,1,1,0,10300000,10300000,10300000,10300000, -   
1797632,98,3,2,123,1,1,1,1,0,10000000,10000000,10000000,10000000, -   
